index,position_x,position_y,position_z,Caten-length_walltowall,Bulbcablelength(M),CatenToFloor,lineID,bulbonline,Universe,cat_sagcenter_pt_x,cat_sagcenter_pt_y,cat_sagcenter_pt_z,cat_endpoint1_x,cat_endpoint1_y,cat_endpoint1_z,cat_endpoint2_x,cat_endpoint2_y,cat_endpoint2_z,globalposition_x,globalposition_y,globalposition_z,AmI_0axis_IndicatorGlobal,AmI_Yaxis_indicatorGlobal,AmI_Zaxis_indicatorGlobal,AmI_Xaxis_indicatorGlobal,AmI_Xaxis_indicatorLocal,AmI_Zaxis_indicatorLocal,AmI_0axis_IndicatorLocal,AmI_Yaxis_indicatorLocal
84,-0.4981,6.6722,5.0158,11.3859,0.2463,-0.2463,2,20,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,-0.5647,6.9852,5.0711,11.3859,0.2587,-0.2587,2,21,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,-0.6312,7.2983,5.1368,11.3859,0.3348,-0.3348,2,22,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,-0.6977,7.6113,5.2129,11.3859,0.4163,-0.4163,2,23,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,-0.7642,7.9243,5.2997,11.3859,0.5868,-0.5868,2,24,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,-0.8308,8.2373,5.3969,11.3859,0.8466,-0.8466,2,25,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,-0.8973,8.5503,5.5045,11.3859,1.1482,-1.1482,2,26,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,-0.9638,8.8633,5.6225,11.3859,1.4854,-1.4854,2,27,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,-1.0304,9.1763,5.7508,11.3859,1.8288,-1.8288,2,28,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,-1.0969,9.4893,5.8895,11.3859,2.2356,-2.2356,2,29,1,-0.1779,5.1657,4.8950,0.9507,-0.1438,6.3946,-1.3065,10.4752,6.3946,184.9017,20.5289,3.0099,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
