ID,Panel,col,row,x 3d,y 3d,to steelwire,to ceiling,to floor,x 2d,y 2d,DMX universe,DMX bk,DMX address,sensor index,deflection_cm,to wall,sequence index,known dmx,known pos,Labels,RackID,DimID,DimPort
99,000-A,3,3,1.106,1.288,0,2.332,4.063,0,0,2,0,36,0,153.1,1.459,3,1,1,row:4|pos:4|dim:1|id:100,0,1,2
100,000-A,4,3,1.040,1.601,0,2.519,3.875,0,0,2,0,37,0,160.7,1.779,4,1,1,row:4|pos:5|dim:1|id:101,0,1,2
101,000-A,5,3,0.973,1.914,0,2.778,3.616,0,0,2,0,38,0,176.4,2.099,5,1,1,row:4|pos:6|dim:1|id:102,0,1,2
102,000-A,6,3,0.907,2.227,0,3.099,3.295,0,0,2,0,39,0,199.2,2.419,6,1,1,row:4|pos:7|dim:1|id:103,0,1,2
103,000-A,7,3,0.840,2.540,0,3.418,2.976,0,0,2,0,40,0,222.9,2.739,7,1,1,row:4|pos:8|dim:1|id:104,0,1,2
104,000-A,8,3,0.774,2.853,0,3.582,2.812,0,0,2,0,41,0,232.0,3.059,8,1,1,row:4|pos:9|dim:1|id:105,0,1,2
105,000-A,9,3,0.707,3.166,0,3.636,2.759,0,0,2,0,42,0,231.1,3.379,9,1,1,row:4|pos:10|dim:1|id:106,0,1,2
106,000-A,10,3,0.641,3.479,0,3.579,2.816,0,0,2,0,43,0,220.0,3.699,10,1,1,row:4|pos:11|dim:1|id:107,0,1,2
107,000-A,11,3,0.574,3.792,0,3.425,2.970,0,0,2,0,44,0,200.3,4.019,11,1,1,row:4|pos:12|dim:1|id:108,0,1,2
108,000-A,12,3,0.508,4.105,0,3.198,3.196,0,0,2,0,45,0,174.2,4.339,12,1,1,row:4|pos:13|dim:1|id:109,0,1,2
109,000-A,13,3,0.441,4.418,0,2.974,3.421,0,0,2,0,46,0,149.3,4.659,13,1,1,row:4|pos:14|dim:1|id:110,0,1,2
110,000-A,14,3,0.374,4.731,0,2.770,3.624,0,0,2,0,47,0,127.6,4.979,14,1,1,row:4|pos:15|dim:1|id:111,0,1,2
111,000-A,15,3,0.308,5.044,0,2.600,3.794,0,0,2,0,48,0,110.0,5.299,15,1,1,row:4|pos:16|dim:1|id:112,0,1,2
112,000-A,16,3,0.241,5.357,0,2.449,3.946,0,0,2,0,49,0,95.4,5.306,16,1,1,row:4|pos:17|dim:1|id:113,0,1,2
113,000-A,17,3,0.175,5.670,0,2.306,4.089,0,0,2,0,50,0,82.6,4.986,17,1,1,row:4|pos:18|dim:1|id:114,0,1,2
114,000-A,18,3,0.108,5.983,0,2.166,4.229,0,0,2,0,51,0,71.0,4.666,18,1,1,row:4|pos:19|dim:1|id:115,0,1,2
115,000-A,19,3,0.042,6.296,0,2.012,4.382,0,0,2,0,52,0,59.0,4.346,19,1,1,row:4|pos:20|dim:1|id:116,0,1,2
116,000-A,20,3,-0.025,6.609,0,1.824,4.571,0,0,2,0,53,0,44.5,4.026,20,1,1,row:4|pos:21|dim:1|id:117,0,1,2
117,000-A,21,3,-0.091,6.922,0,1.678,4.717,0,0,2,0,54,0,35.3,3.706,21,1,1,row:4|pos:22|dim:1|id:118,0,1,2
118,000-A,22,3,-0.158,7.235,0,1.630,4.764,0,0,2,0,55,0,36.8,3.386,22,1,1,row:4|pos:23|dim:1|id:119,0,1,2
119,000-A,23,3,-0.224,7.548,0,1.668,4.727,0,0,2,0,56,0,47.9,3.066,23,1,1,row:4|pos:24|dim:1|id:120,0,1,2
120,000-A,24,3,-0.291,7.861,0,1.686,4.708,0,0,2,0,57,0,58.0,2.746,24,1,1,row:4|pos:25|dim:1|id:121,0,1,2
121,000-A,25,3,-0.357,8.174,0,1.769,4.625,0,0,2,0,58,0,75.5,2.426,25,1,1,row:4|pos:26|dim:1|id:122,0,1,2
122,000-A,26,3,-0.424,8.487,0,1.888,4.507,0,0,2,0,59,0,97.5,2.106,26,1,1,row:4|pos:27|dim:1|id:123,0,1,2
123,000-A,27,3,-0.490,8.800,0,2.011,4.383,0,0,2,0,60,0,121.1,1.786,27,1,1,row:4|pos:28|dim:1|id:124,0,1,2
124,000-A,28,3,-0.557,9.113,0,2.132,4.263,0,0,2,0,61,0,145.2,1.466,28,1,1,row:4|pos:29|dim:1|id:125,0,1,2
125,000-A,29,3,-0.624,9.426,0,2.286,4.109,0,0,2,0,62,0,173.7,1.146,29,1,1,row:4|pos:30|dim:1|id:126,0,1,2
126,000-A,30,3,-0.690,9.739,0,2.481,3.913,0,0,2,0,63,0,207.4,0.826,30,1,1,row:4|pos:31|dim:1|id:127,0,1,2
127,000-A,31,3,-0.756,10.052,0,2.739,3.656,0,0,2,0,64,0,248.1,0.506,31,1,1,row:4|pos:32|dim:1|id:128,0,1,2
128,000-A,0,4,-0.350,10.302,0,2.598,3.797,0,0,3,0,1,0,241.5,0.326,28,1,1,row:5|pos:1|dim:1|id:129,0,1,3
129,000-A,1,4,-0.283,9.989,0,2.417,3.977,0,0,3,0,2,0,206.7,0.646,27,1,1,row:5|pos:2|dim:1|id:130,0,1,3
130,000-A,2,4,-0.217,9.676,0,2.231,4.164,0,0,3,0,3,0,172.4,0.966,26,1,1,row:5|pos:3|dim:1|id:131,0,1,3
131,000-A,3,4,-0.150,9.363,0,2.136,4.259,0,0,3,0,4,0,148.4,1.286,25,1,1,row:5|pos:4|dim:1|id:132,0,1,3
132,000-A,4,4,-0.084,9.050,0,2.085,4.309,0,0,3,0,5,0,130.0,1.606,24,1,1,row:5|pos:5|dim:1|id:133,0,1,3
133,000-A,5,4,-0.017,8.737,0,2.058,4.337,0,0,3,0,6,0,115.0,1.926,23,1,1,row:5|pos:6|dim:1|id:134,0,1,3
